"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"Brontë, Charlotte, author, 1816-1855","person","040-001966392","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000000970.0x000287","","","","","","","","","","","","","","[1900-1903]","","1 item","","Western Manuscripts. Add MS 71934","","English","SUPPLEMENTARY BENTLEY PAPERS. Vol. XIV. Photograph album of George Bentley. includes:. f. 1 George Bentley, of Richard Bentley and Son, publishers: Photograph of George Bentley: n.d; f. 1v Conder: Photograph: n.d; f. 1v Watts Dunton: Photograph of Watts Dunton: n.d; f. 2 Reverend Charles Kingsley, author: Photograph of Rev. Charles Kingsley: n.d; f. 2 Anne Edwards: Photograph of Anne Edwards: n.d; f. 2 Giuseppe Garibaldi, Italian patriot: Photograph of Giuseppe Garibaldi: n.d; f. 2 J. R. Heron Maxwell, Captain, 15th KH: Photograph of J. R. Heron Maxwell: n.d; f. 3 William Ewart Gladstone, Prime Minister: Photograph of William Ewart Gladstone: n.d; f. 3 Charles Dickens, novelist: Photograph of Charles Dickens: n.d; f. 3v Eva Muller: Photograph of Eva Muller: 1898; f. 4 Otto Edward Leopold Bismarck, Prince Bismarck Schönhausen; German Chancellor: Photograph of Otto Edward Leopold Bismarck: n.d; f. 4 Alice Ellen Terry, GBE; actress: Photograph of Alice Ellen Terry: n.d; f. 4 Little, captain: Photograph of - Little: n.d; f. 5v Richard Bentley, publisher (I): Photograph of Richard Bentley: n.d; f. 6 J. Hissey, Author: Photograph of J. Hissey: n.d; f. 7 John Ruskin, author, artist and social reformer: Photograph of John Ruskin: n.d; f. 7v Sir Edward Shepherd Creasy, historian: Photograph of Sir Edward Shepherd Creasy: n.d; ff. 7, 17 Hugo Daubert: Photographs of Hugo Daubert: n.d; f. 8 Alfred Tennyson, 1st Baron Tennyson; Poet Laureate: Photograph of Alfred Tennyson: n.d; f. 8v Barone Carlo Marochetti,; sculptor; d.1869: Photograph of Barone Carlo Marochetti: n.d; f. 8v Johann Christoph Friedrich von Schiller, poet: Portrait of Johann Christoph Friedrich von Schiller: n.d; f. 8v Victoria of England; Albert, Prince Consort: Photograph of Prince Albert: n.d; f. 9 Fraser Duff: Photograph of Fraser Duff: n.d; f. 9 Thomas Carlyle, historian; d.1881: Photograph of Thomas Carlyle: n.d; f. 9 Algernon Charles Swinburne, poet: Photograph of Algernon Charles Swinburne: n.d; f. 9 Farbrother: Photograph of - Farbrother: n.d; f. 9v Louise Victoria Alexandra Dagmar, Princess Royal; wife of Alexander, 1st Duke of Fife: Photograph of Louise Victoria Alexandra Dagmar: n.d; f. 10 Maximilian I; Emperor of Mexico: Photograph of Maximilian I: n.d; f. 10 Tiemmus Wint: Photograph of Tiemmus Wint: n.d; f. 10 William Frend De Morgan, writer: Photograph of William Frend De Morgan: n.d; f. 10v Reverend W. Hickman: Photograph of Rev. W. Hickman: n.d; f. 11 Alfredo Piatti, cellist and composer: Photograph of Alfredo Piatti: n.d; f. 11 Olaf Svendgen: Photograph of Olaf Svendgen: n.d; f. 11 Richard Jefferies: Photograph of Richard Jefferies: n.d; f. 11 Robert Browning, poet: Photograph of Robert Browning: n.d; f. 13 Lucy Rosamund Bentley, wife of Richard Bentley, publisher (II): Photograph of Lucy Rosamund Bentley: n.d; f. 13 Persia, Shahs of. Pahlevy: Photograph of Shah of Persia: n.d; f. 13 George William Frederick Charles, 2nd Duke of Cambridge: Photograph of 2nd Duke of Cambridge: n.d; ff. 14, 21 Henry John Temple, 3rd Viscount Palmerston; Prime Minister: Photographs of Henry John Temple: n.d; f. 15 Ernest Christopher Dowson, poet: Photograph of Ernest Christopher Dowson: n.d; f. 15v George MacDonald, author: Photograph of George MacDonald: n.d; f. 17v Anne Bentley, wife of George Bentley, publisher: Photograph of Anne Bentley: n.d; f. 19 Francis Joseph Leopold Frederick Teck, Prince of: Photograph of Prince of Teck: n.d; f. 19 B. Foster: Photograph of B. Foster: n.d; f. 20 Frederic Leighton, Baron Leighton; PRA: Photograph of Frederic Leighton: n.d; f. 20 Robert Louis Stevenson, writer: Photograph of Robert Louis Stevenson: n.d; f. 21 Terese Tietzion: Photograph of Terese Tietzion: n.d; f. 21v Ralph Waldo Emerson, American essayist: Photograph of Ralph Waldo Emerson: n.d; f. 22 Charlotte Brontë, author: Portrait of Charlotte Brontë: n.d; f. 22 Victoria of England: Photograph of Queen Victoria: n.d; f. 22 Richard Le Gallienne, author: Photograph of Richard Le Gallienne: n.d",""
"Brontë, Charlotte, author, 1816-1855","person","040-001985459","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000000158.0x000135","","","","","","","","","","","","","","1830-1839","","1 item","","Western Manuscripts. Egerton MS 3268 A","","English","Journals and sermons of Henry Nussey, etc, viz.:-. (1) Journal; 28 Feb. 1830-30 Sept. 1832, June 1838-14 Mar. 1839. On ff. 62, 64b the entries 'Wrote to a York[shir]e Friend. C.B.' and 'Received an unfavourable report from C.B. The will of the Lord be done.' refer to his proposal of marriage to Charlotte Brontë, who refused him in a letter, 5 Mar. 1839, printed in Clement Shorter, The Brontës. Life and Letters, 1908, i, pp. 152-153, where also (p. 150, note) the above and other extracts from this journal are given. ff. 1-65b. (2) Four sermons, first delivered at Earnley, 27 Sept.-29 Nov. 1840. ff. 66-97b. (3) Letter from Henry Nussey to his mother and sisters; Hathersage, 12 June 1846. f. 98. (4) Letter of Emily Nussey to her sister-in-law, Mrs Clapham (née Anne Nussey), with additions by her husband, Henry Nussey; Rome, 13 Mar. 1850. ff. 99-100. (5) Envelope addressed to Ellen Nussey by Charlotte Brontë (from letter 420 in C. Shorter, op. cit, ii, pp. 117-118), 11 Mar. 1850 (postmark). f. 101. (6) End of a letter from Charlotte Brontë, n.d. f. 102. includes:. f. i Bookplates and Book-stamps: Stead (John James): circ. 1899; ff. i, ii John James Stead, of Heckmondwike: Bookplate, etc.: 1896-1899; ff. 1-65b Henry Nussey, Vicar of Hathersage: journal: 1830-1839; ff. 1-65b Diaries and Memoranda: Rev. H. Nussey: 1830-1839; ff. 66-97b Sermons: H. Nussey; four sermons: 1840; ff. 66-97b Henry Nussey, Vicar of Hathersage: Sermons: 1840; ff. 98, 100b Henry Nussey, Vicar of Hathersage: Letters to his mother and sisters: 1846, 1850; f. 99 Emily Nussey, wife of Henry Nussey: Letter to her sister-in-law, Mrs A. Clapham: 1850; f. 101 Charlotte Brontë, author: Envelope addressed to E. Nussey: 1850; f. 102 Charlotte Brontë, author: Letter to -: n.d.: Imperf",""
"Brontë, Charlotte, author, 1816-1855","person","040-001985460","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000000158.0x000139","","","","","","","","","","","","","","1830-1855","","1 item","","Western Manuscripts. Egerton MS 3268 B","","English","Lock of Charlotte Brontë's hair, cut at her death for Ellen Nussey, 31 Mar. 1855. Paper; ff. ii + 103, ii + 1. Quarto. 1830-1855. Bookplate (Eg. 3268 A, f. i) of John James Stead of Heckmondwike, W.R, co. York, who acquired the journal and sermons at the sale of Ellen Nussey's effects at Moor Lane House, Gomersal, W.R, co. York, 18 and 19 May 1898 (f. ii). The lock of hair was presented by Ellen Nussey to John Stead, 31 Jan. 1896 (see Eg. 3268 B, f. i). From the Farnborough Fund. . Charlotte Brontë, author: Lock of hair: 1855. includes:. ff. i, ii John James Stead, of Heckmondwike: Bookplate, etc.: 1896-1899",""
"Brontë, Charlotte, author, 1816-1855","person","040-002038723","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000000337.0x0003cd","","","","","","","","","","","","","","1836-1837","","1 item","","Western Manuscripts. Add MS 44355","","English","Vol. CCLXX (ff. 275). 1836- 1837. includes:. ff. 1, 3, 7, 15, 119, 124, 131, 133, 268 Robert Caparn, election agent; of Newark, county Nottinghamshire: Correspondence with W. E. Gladstone: 1832-1846; ff. 9, 110, 115 James Endell Tyler, Rector of St. Giles-in-the-Fields; Canon of St. Paul's 1845: Correspondence with W. E. Gladstone: 1834-1849; ff. 13, 228 John Frederick Denison Maurice, author and theologian: Correspondence with W. E. Gladstone: 1830-1841; ff. 17, 113, 129, 168, 316 William Edward Tallents, election agent, of Newark, county Nottinghamshire: Correspondence with W. E. Gladstone: 1832-1837; f. 18 William Branston, of Newark, county Nottinghamshire: Letter to W. E. Tallents: 1836.: Copy; f. 20 Joseph Anstice, Professor at King's College, London: Letters to W. E. Gladstone: 1832-1836; ff. 22, 29, 60, 62, 97, 105 Reverend Thomas Chalmers, theologian: Correspondence with W. E. Gladstone: 1834-1842; f. 24 James William Farrer, Master in Chancery: Letter to W. E. Gladstone: 1836; f. 26 Mary Harrison, mother of Archdeacon B Harrison: Letter to W. E. Gladstone: 1836; f. 27 Samuel Francis Wood, barrister: Letter to W. E. Gladstone: 1836; f. 31 Dudley Ryder, Viscount Sandon; 2nd Earl of Harrowby: Correspondence with W. E. Gladstone: 1835-1875; f. 33 John Inglis, Bishop of Nova Scotia: Letters to W. E. Gladstone: 1836, 1839; f. 35 John Inglis, Bishop of Nova Scotia: Letter to Sir C. Campbell: 1835.: Copy; ff. 40, 265 Edward Gibbon Wakefield, colonial statesman: Letters to W. E. Gladstone: 1836-1851; ff. 44-259 passim Sir Henry Taylor, KCMG; Colonial Office; author: Correspondence with W. E. Gladstone: 1836-1885; ff. 48, 51, 158 Edward Smith Godfrey, Chairman of Newark election committee: Correspondence with W. E. Gladstone: 1832-1841; ff. 54, 147 John Reddie, Chief Justice of St. Lucia: Letters to W. E. Gladstone: 1836; f. 55 William Boler, of the Royal Mint: Correspondence with W. E. Gladstone: 1836-1847; f. 58 Arthur Wellesley, 1st Duke of Wellington: Letter to Lord Aberdeen: 1836; f. 64 James Spedding, editor of the works of Sir Francis Bacon: Correspondence with W. E. Gladstone: 1836-1876; f. 66 Sir Joseph Napier, Lord Chancellor of Ireland: Correspondence with W. E. Gladstone: 1850-1865; f. 68 Kirkman Finlay, MP, Lord Provost of Glasgow: Letters to W. E. Gladstone: 1832-1836; ff. 72, 80 William Jacobson, Bishop of Chester: Correspondence with W. E. Gladstone: 1836-1884; ff. 72-96 Henry Thompson, of Magdalen Hall, Oxford: Documents rel. to: 1836-1839; ff. 75, 78 William Rawson, Rector of Seaforth: Correspondence with W. E. Gladstone: 1828-1871; ff. 88, 89 Henry Thompson, of Magdalen Hall, Oxford: Letters to W. E. Gladstone: 1836-1839; f. 90 Poetry ENGLISH: Verses by H. Thompson: 1836; f. 100 William Grant Broughton, Bishop of Sydney: Letter to E. Coleridge: 1836; ff. 104, 200 Reverend Robert Simpson, of Newark, county Nottinghamshire: Correspondence with W. E. Gladstone: 1834-1843; ff. 107, 121 Joan Canning, Viscountess Canning 1828; wife of George Canning: Letters to W. E. Gladstone: 1836; f. 126 James Bruce, 8th Earl of Elgin and 12th Earl of Kincardine: Correspondence with W. E. Gladstone: 1831-1861; ff. 135, 137 Sir George Clerk, 6th Baronet of Penicuick; statesman: Correspondence with W. E. Gladstone: 1836-1864; f. 139 Sir John Stuart Forbes, 8th Baronet; afterwards Hepburn-Forbes: Correspondence with W. E. Gladstone: 1836-1858; ff. 140, 155 Arthur Pakenham: Correspondence with W. E. Gladstone: 1832-1846; ff. 143, 197, 209, 247, 249 Joseph Williams Blakesley, Dean of Lincoln: Correspondence with W. E. Gladstone: 1833-1870; ff. 145, 146b Sir George Grey, 2nd Baronet; of Fallodon: Correspondence with W. E. Gladstone: 1836-1871; ff. 159, 199 (imperf.), 273 Edward Wilmot, of Portarlington: Letters to W. E. Gladstone: 1833-1839; f. 161 Sir Thomas Gladstone, 2nd Baronet; elder brother of WE Gladstone: Letter to Sir G. Grey: 1837.: Draft; f. 166 John Jeremiah Bigsby, geologist: Letter to, from W. E. Gladstone: 1837.: Draft; f. 173 William Selwyn, Canon of Ely: Correspondence with W. E. Gladstone: 1837-1874; f. 174 John Garrett Bussell, Vicar of Newark, county Nottinghamshire: Letter to, from W. E. Gladstone: 1837.: Draft; ff. 184, 188 Robert Benton Seeley, publisher and author: Letters to F. R. Bonham: 1837; f. 186 Stanley Lees Giffard, Editor of 'The Standard': Letters to W. E. Gladstone: 1837, 1839; f. 190 Charles James Blomfield, Bishop of London: Letter to Rev. J. Husband: 1827; f. 192 Sir Thomas Tancred, 7th Baronet: Correspondence with W. E. Gladstone: 1835-1852; ff. 194, 221, 226 Philip Pusey, MP; agriculturist: Correspondence with W. E. Gladstone: 1837-1865; f. 202 Mary Gaskell, wife of B Gaskell: Letters to W. E. Gladstone: 1830-1840; f. 204 Arthur Henry Dyke Acland, barrister: Letters to W. E. Gladstone: 1835-1852; ff. 206, 207 Stratford Canning, Viscount Stratford de Redcliffe: Correspondence with W. E. Gladstone: 1837-1880; f. 208 Charles John Canning, 2nd Viscount and (1859) Earl Canning: Letter to Sir Stratford Canning: 1837; ff. 212, 222 Henry Phillpotts, Bishop of Exeter: Correspondence with W. E. Gladstone: 1837-1866; ff. 213, 219 Sir Robert Heron, 2nd Baronet: Letters to W. E. Gladstone: 1837; f. 217 John Harty, physician: Letter to, from W. E. Gladstone: 1837.: Copy; f. 224 Colonel John MacInnes, General 1856: Letter to W. E. Gladstone: 1837; ff. 230, 260, 271 Reverend Charles Richard Elrington, Regius Professor of Divinity at Trinity College, Dublin: Letters to W. E. Gladstone: 1837-1844; f. 236 Charlotte Brontë, author: Letter to, from Robert Southey: 1837.: Copy; f. 236 Robert Southey, poet: Letter to Charlotte Brontë: 1837.: Copy; f. 240 George William Finch-Hatton, 10th Earl of Winchilsea: Correspondence with W. E. Gladstone: 1832-1845; f. 241 Digby Willoughby, 7th Baron Middleton: Letters to W. E. Gladstone: 1837, 1841; f. 242 Manchester, Lancashire: Invitation to W. E. Gladstone to contest the constituency: 1837; f. 243 Hon Edward Harcourt, formerly Venables-Vernon; Archbishop of York: Letters to W. E. Gladstone: 1837-1841; f. 245 Isabella Ramsay, wife of Dean Ramsay: Letters to W. E. Gladstone: 1834-1843; f. 252 Sir Thomas Fowell Buxton, 1st Baronet; philanthropist: Letters to W. E. Gladstone: 1837-1840; f. 257 Sir James Stephen, KCB: Correspondence with W. E. Gladstone: 1835-1855; f. 266 Arthur Wellesley, 1st Duke of Wellington: Correspondence with W. E. Gladstone: 1837-1846",""
"Brontë, Charlotte, author, 1816-1855","person","040-002056395","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000001102.0x000016","","","","","","Nicholls, Arthur Bell, Reverend 1854 husband of Charlotte Bronte [former owner]","George Smith Memorial Bequest Vol X","","","","","","","1844-1848","","1 item","","Western Manuscripts. Add MS 43483","","English","Autograph volume of juvenilia, entitled ''The Gondal Poems'', by Emily Jane Brontë with pencil notes and headings throughout by Charlotte Brontë. The poems were ''Transcribed February 1844'' (sic, f. 1), with additions made later in the same year and down to 13 May 1848 (see f. 346) (the first poem is dated 6 Mar. 1837). Several items are initialled ''A.B.N.'' and relate to Arthur Bell Nicholls, Charlotte''s husband who subsequently owned the manuscript","Bequested by George Smith ; Reverend Arthur Bell Nicholls, the husband of Charlotte Brontë inherited the manuscript following her death in 1855. It remained in Nicholls''s possession until his death on 13th December 1906. The manuscript was purchased at auction (lot 55, Sotheby''s on 26th July 1907) by Mrs George Smith"
"Brontë, Emily (Emily Jane), 1818-1848","person","017941023","Monograph","Language material ; Text","Online resource","GBB6I2599","","9780748694594 ; 9781322059839","Staten, Henry","1946-","person","author","Staten, Henry, 1946-, author [person]","Spirit Becomes Matter : the Brontë̈s, George Eliot, Nietzsche","","Edinburgh critical studies in Victorian culture","","Scotland","Edinburgh","Edinburgh University Press","2014","","1 online resource (ix, 189 pages)","823.809","ELD.DS.69497","","English","",""
"Brontë, Emily Jane, author, 1818-1848","person","040-001979220","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000001448.0x00011c","","Brontë, Charlotte, author","1816-1855","person","author","Brontë, Charlotte, author, 1816-1855 [author] ; Nussey, Ellen, friend of C Brontë [recipient] ; Williams, W S, reader at Smith and Elder publishers [recipient]","","","","","","","","1848-1854","","1 item","","Western Manuscripts. Ashley MS 2452","","English","Letters (5) from Charlotte Brontë to W. S. Williams and Ellen Nussey; 1848-1854. For a further letter to Williams see 164, and to Miss Nussey see 168. Ashley Library Catalogue, i, pp. 76-77. As follows:-. 1. Letter to W. S. Williams, chiefly concerned with Emily Brontë''s last illness and the review of the works of Acton, Ellis and Currer Bell in the North American Review ; 22 Nov. 1848. Signed ''Currer Bell''. Printed in The Shakespeare Head Brontë, The Brontës; Their Lives, Friendships and Correspondence, 1932, ii, p. 287. ff. 4-5b. 2. Letter to Ellen Nussey, describing the death of Branwell Brontë; 9 Oct. 1848. Printed in The Shakespeare Head Brontë, etc, ii, p. 264. ff. 9-10b. 3. Letter to W. S. Williams, written after the death of Emily Brontë; 25 Dec. 1848. Printed in The Shakespeare Head Brontë, etc, ii, pp. 294-295. ff. 13-14. 4. Letter to W. S. Williams, describing the death of Anne Brontë; 4 June 1849. Printed in The Shakespeare Head Brontë, etc, ii, pp. 337-338. ff. 16-17. 5. Letter to Ellen Nussey, describing a walk on the moors with her husband, and discussing the possibility of Sutcliffe Sowden being given the living of the new church at Padiham by Sir James Kay-Shuttleworth; 29 Nov. 1854. Printed in The Shakespeare Head Brontë, etc, iv, p. 162. ff. 20-21b. Bound up with the letters is a copy of Wise''s privately printed Letters recounting the deaths of Emily Anne and Branwell Brontë, 1913 (ff. 1-3, 6-8, 11, 12, 15, 18, 19, 22, 23), part of the galley proof containing the description of the letters printed in Wise''s Ashley Catalogue (f. ii), and a leaf containing pp. 23 and 24 of Maggs'' catalogue listing a letter from Charlotte Brontë to W. S. Williams dated 17 Nov. 1849 (f. iii). Quarto; ff. iii+23. includes:. ff. 4-5b Emily Jane Brontë, author: Charlotte Brontë, author: W. S. Williams, reader at Smith and Elder, publishers: Letter to W. S. Williams from Charlotte Brontë rel. to last illness of Emily Jane Brontë: 1848; ff. 9-10b Charlotte Brontë, author: Ellen Nussey, friend of C Brontë: Patrick Branwell Brontë, brother of Charlotte Brontë: Letter to Ellen Nussey from Charlotte Brontë rel. to death of Patrick Branwell Brontë: 1848; ff. 13-14 Charlotte Brontë, author: W. S. Williams, reader at Smith and Elder, publishers: Letter rel. to death of E. J. Brontë to W. S. Williams from Charlotte Brontë: 1848; ff. 16-17 Charlotte Brontë, author: W. S. Williams, reader at Smith and Elder, publishers: Letters rel. to death of A. Brontë to W. S. Williams from Charlotte Brontë: 1849; ff. 20-21b Charlotte Brontë, author: Ellen Nussey, friend of C Brontë: Letter to Ellen Nussey from Charlotte Brontë: 1854",""
"Brontë, Emily Jane, author, 1818-1848","person","040-002056395","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000001102.0x000016","","","","","","Nicholls, Arthur Bell, Reverend 1854 husband of Charlotte Bronte [former owner]","George Smith Memorial Bequest Vol X","","","","","","","1844-1848","","1 item","","Western Manuscripts. Add MS 43483","","English","Autograph volume of juvenilia, entitled ''The Gondal Poems'', by Emily Jane Brontë with pencil notes and headings throughout by Charlotte Brontë. The poems were ''Transcribed February 1844'' (sic, f. 1), with additions made later in the same year and down to 13 May 1848 (see f. 346) (the first poem is dated 6 Mar. 1837). Several items are initialled ''A.B.N.'' and relate to Arthur Bell Nicholls, Charlotte''s husband who subsequently owned the manuscript","Bequested by George Smith ; Reverend Arthur Bell Nicholls, the husband of Charlotte Brontë inherited the manuscript following her death in 1855. It remained in Nicholls''s possession until his death on 13th December 1906. The manuscript was purchased at auction (lot 55, Sotheby''s on 26th July 1907) by Mrs George Smith"
"Brontë, Emily","person","017737453","Monograph","Language material ; Text","Volume","GBB620520","","9780393352702","Lutz, Deborah","","person","author","Lutz, Deborah, author [person]","The Brontë cabinet : three lives in nine objects","","","","United States of America","New York","W.W. Norton","2016","","1 volume","823.809","","","English","Originally published: 2015",""
"Brontë, Emily, 1818-1848","person","000904339","Monograph","Language material ; Text","Volume","","","","Dembleby, John Malham","","person","","Dembleby, John Malham [person] ; Kireevsky, Ivan Vasil'evich [person]","The key to the Brontë works : the key to Charlotte Bronte's 'Wuthering Heights,' 'Jane Eyre,' and her other works : showing the method of their construction and their relation to the facts and people of her life","","","","England","Felling-on-Tyne ; London","Walter Scott Publishing","1911","","185 pages (8°)","","11840.r.20","","English","",""
"Brontë, Emily, 1818-1848","person","000987305","Monograph","Language material ; Text","Volume","","","","Dry, Florence Swinton","","person","","Dry, Florence Swinton [person]","Brontë sources","","","","England","Cambridge","W. Heffer","1937-1940","","2 volumes, 24 cm","","W.P.7923","","English","",""
"Brontë, Emily, 1818-1848","person","003368473","Monograph","Language material ; Text","Volume","","","9780237350253","Sherry, Norman","","person","","Sherry, Norman [person]","Charlotte and Emily Brontë","","Literature in perspective","","England","London","Evans","1969","","144 pages, plates, illustrations, 19 cm","","72/8279 ; X.0908/88. (31.)","","English","",""
"Brontë, Emily, 1818-1848","person","003373391","Monograph","Language material ; Text","Volume","","","","Shorter, Clement King","1857-1926","person","","Shorter, Clement King, 1857-1926 [person]","Charlotte Brontë and her sisters","","Literary lives","","","","","1905","","viii, 252 pages","","10600.cc.15/7","","English","",""
"Brontë, Emily, 1818-1848","person","006747995","Monograph","Language material ; Text","Volume","GB9708962","","9781873403280","","","","","McNees, Eleanor, editor [person]","The Brontë sisters : critical assessments","","The Helm Information critical assessments of writers in English","","England","Mountfield","Helm Information","1996","","4 volumes (various pagings), portraits, 25 cm","823.809","97/04138 ; 97/04139 ; 97/04140 ; 97/04141 ; YC.1997.b.699","","English","In slipcase",""
"Brontë, Emily, 1818-1848","person","006921481","Monograph","Language material ; Text","Volume","GBA2Z4445","","9780791061879","","","","","Bloom, Harold [person]","The Brontë sisters","","Bloom's biocritiques","","United States of America","Broomall, Pennsylvania ; Northam","Chelsea House ; Roundhouse","2002","","xiii, 160 pages, 24 cm","823.809","","Biography","English","",""
"Brontë, Emily, 1818-1848","person","006933150","Monograph","Language material ; Text","Volume","GBA2T8914","","9780822500711","Kenyon, Karen Smith","","person","","Kenyon, Karen Smith [person]","The Brontë family : passionate literary geniuses","","A Lerner biography","","England ; United States of America","London ; Minneapolis, Minnesota","Lerner ; Turnaround","2003","","128 pages, illustrations, 23 cm","823.809","","Biography ; Children's literature","English","",""
"Brontë, Emily, 1818-1848","person","007236028","Serial","Language material ; Text","Volume","GB9469236","","","","","","","Brontë Society [organisation]","Brontë Society gazette","","","","England","Haworth","Brontë Society","1990-","","volumes, illustrations, portraits, 21 cm","823.8","ZC.9.a.4085","","English","Description based on: Issue number 5 (February 1992)",""
"Brontë, Emily, 1818-1848","person","007363526","Monograph","Language material ; Text","Volume","GBA158045","","9780224037457","Miller, Lucasta","","person","","Miller, Lucasta [person]","The Brontë myth","","","","England","London","Jonathan Cape","2001","","xiv, 320 pages, 8 pages of plates, illustrations, portraits, 25 cm","823.809","YC.2001.a.16635","Biography","English","",""
"Brontë, Emily, 1818-1848","person","007375395","Monograph","Language material ; Text","Volume","GB7629744","","9780435186609","Oldfield, Jenny","1949-","person","","Oldfield, Jenny, 1949- [person]","'Jane Eyre' and 'Wuthering Heights' : a study guide","","","","England","London","Heinemann","1976","","10, 115 pages, 19 cm","823.8","78/0460 ; X.908/40590","","English","",""
"Brontë, Emily, 1818-1848","person","007397127","Monograph","Language material ; Text","Volume","GB9002628","","9780710805577 ; 9780710805621","Boumelha, Penny","","person","","Boumelha, Penny [person]","Charlotte Brontë","","Key women writers","","England ; United States of America","London ; New York","Harvester Wheatsheaf","1990","","xiv, 152 pages","823.809","90/13096 ; YH.1990.a.353 ; YK.1990.a.2776","","English","bibliography: p141-148. - Includes index",""
"Brontë, Emily, 1818-1848","person","007417891","Monograph","Language material ; Text","Volume","","","9780816179534","Crump, R. W. (Rebecca W.)","1944-","person","","Crump, R. W. (Rebecca W.), 1944- [person]","Charlotte and Emily Brontë, 1846-1915 : a reference guide","","A reference guide to literature","","United States of America","Boston, Massachusetts","G.K. Hall","1982","","xvii, 194 pages, 24 cm","","X.950/18770","","English","",""
"Brontë, Emily, 1818-1848","person","007497821","Monograph","Language material ; Text","Volume","","","9789173463423","Ardholm, Helena M.","","person","","Ardholm, Helena M. [person]","The emblem and the emblematic habit of mind in Jane Eyre and Wuthering Heights","","Gothenburg studies in English","74 [Gothenburg studies in English]","Sweden","Göteborg","Acta Universitatis Gothoburgensis","1999","","165 pages, illustrations, 23 cm","","Ac.2651.d/3 [no.74] ; YA.2001.a.10687","","English","",""
"Brontë, Emily, 1818-1848","person","007679874","Monograph","Language material ; Text","Volume","GB7109792","","9780130838810 ; 9780130838995","","","","","Gregor, Ian, editor [person]","The Brontës : a collection of critical essays","","Twentieth century views","","England ; United States of America","Englewood Cliffs ; Hemel Hempstead","Prentice Hall","1970","","vii, 179 pages, 21 cm","823.8","11880.bb.2/83 ; 72/7279 ; A70/4473","","English","With special reference to Charlotte, Branwell, Emily and Anne Brontë. Also numbered as S-TC 92 in the 'Spectrum book' series",""
"Brontë, Emily, 1818-1848","person","008189888","Monograph","Language material ; Text","Volume","","","9789630733793","Taxner-Tóth, Ernő","","person","","Taxner-Tóth, Ernő [person]","A Brontë nővérek világa","","Írók világa","","Hungary","Budapest","Európa","1984","","268 pages, illustrations, 19 cm","","YA.1988.a.19192","","Hungarian","",""
"Brontë, Emily, 1818-1848","person","008745746","Monograph","Language material ; Text","Volume","GB97X0171","","9780500260166","Bentley, Phyllis Eleanor","1894-1977","person","","Bentley, Phyllis Eleanor, 1894-1977 [person]","The Brontës","Brontës and their world","Thames and Hudson literary lives","","England","London","Thames & Hudson","1997","","144 pages, illustrations, facsimiles, 1 map, portraits, 24 cm","823.809","YC.1998.b.4809","","English","Originally published as: The Brontës and their world, 1969 ; bibliography: p134. _ Includes index",""
"Brontë, Emily, 1818-1848","person","008844106","Monograph","Language material ; Text","Volume","","","9780820442259 ; 9783906762012","Schönberger-Schleicher, Esther","1962-","person","","Schönberger-Schleicher, Esther, 1962- [person]","Charlotte and Emily Brontë : a narrative analysis of Jane Eyre and Wuthering Heights","","European university studies. Series XIV, Anglo-saxon language and literature Europäische Hochschulschriften. Reihe XIV, Angelsächsische Sprache und Literatur","volume 350 = Band 350 [European university studies. Series XIV, Anglo-saxon language and literature Europäische Hochschulschriften. Reihe XIV, Angelsächsische Sprache und Literatur]","Switzerland ; United States of America","Berne ; New York","Peter Lang","1999","","267 pages, illustrations, 21 cm","823.8","YA.2000.a.39863","","English","",""
"Brontë, Emily, 1818-1848","person","010055724","Monograph","Language material ; Text","Volume","GB8835811","","9780333421970 ; 9780333421987","Winnifrith, Tom","1938-","person","","Winnifrith, Tom, 1938- [person] ; Chitham, Edward [person]","Charlotte and Emily Brontë : literary lives","","Macmillan literary lives","","England","Basingstoke","Macmillan","1989","","vi, 144 pages, 22 cm","823.8","YC.1989.a.4198","","English","bibliography: p139-140. _ Includes index",""
"Brontë, Emily, 1818-1848","person","010768468","Monograph","Language material ; Text","Volume","GBA134118","","9781841635095","Machin, Louise","","person","","Machin, Roger [person] ; Machin, Louise [person]","The Brontës","Charlotte & Emily Brontë","Folens pre-1914 classics","","England","Dunstable","Folens","2000","","64 pages, illustrations, 28 cm","823.8","YK.2001.b.2999","","English","Cover title: Charlotte & Emily Brontë ; Publisher's number FB509X",""
"Brontë, Emily, 1818-1848","person","010792912","Monograph","Language material ; Text","Volume","","","9782858162710","Bazin, Claire","","person","","Bazin, Claire [person]","La vision du mal chez les soeurs Brontë","","Interlangues. Littératures","","France","Toulouse","Presses universitaires du Mirail","1995","","225 pages","","YA.1996.a.21060","","French","",""
